Job Title,Location,Company,Job Type,Pay,Rating
"Senior Software Engineer, Full Stack",Hybrid work in New York,Parabola,N/A,N/A,N/A
Associate Software Engineer,Portland,WEX Inc.,Full-time,"$94,000 - $125,000 a year",3.2
Software Developer,San Ramon,HS Solutions,N/A,N/A,N/A
"Senior Software Engineer, Front End",Richmond,Information Technology Senior Management Forum,Full-time,"$144,200 - $164,600 a year",N/A
Deloitte Technology |Product Engineering |Fullstack Software Engineer| Vision360,New York,Deloitte,N/A,N/A,N/A
Staff Software Engineer - Backend,Hybrid work in Menlo Park,Cyngn,N/A,N/A,N/A
Junior Software Engineer,Hybrid work in Denver,"Medpace, Inc.",N/A,N/A,N/A
Staff Software Engineer - Backend,Seattle,Hive,Full-time,"$200,000 - $300,000 a year",3.4
"Senior Full Stack Software Development Engineer, Transfer Flow",Hybrid work in Seattle,Remitly,N/A,N/A,N/A
Java Developer III - (E3),Santa Clara,Applied Materials,N/A,N/A,N/A
Junior Software Developer,Wayne,Intellicomm Inc,Full-time,"$70,000 - $85,000 a year",N/A
Senior Software Engineer,Milpitas,KLA,N/A,N/A,N/A
Senior Software Engineer,San Francisco,Cyrad Solutions,N/A,N/A,N/A
Software Development Engineer I 2025,Seattle,"Amazon Development Center U.S., Inc.",Full-time,"$99,500 - $200,000 a year",3.4
Senior Software Developer,Hybrid work in Bloomington,COUNTRY Financial,N/A,N/A,N/A
Senior Full Stack Cloud Software Development Engineer – Claims,Richardson,CVS Health,N/A,N/A,N/A
Senior Software Engineer,California,Broadcom,Full-time,"$119,000 - $190,000 a year",3.8
"Senior Software Engineer, Developer Platform",San Bruno,Verily,N/A,N/A,N/A
Senior Software Engineer,O'Fallon,Mastercard,Full-time,"$115,000 - $184,000 a year",4
Full Stack Software Engineer/API Developer,Remote,Transamerica,N/A,N/A,N/A
Entry/Mid Level Software Engineer - Gosu/Guidewire/Java,Hybrid work in State Farm,Information Technology Senior Management Forum,N/A,N/A,N/A
Sr. Full Stack Software Engineer,Whippany,MetLife,Full-time,"$100,000 - $140,000 a year",3.8
Senior Software Engineer,O'Fallon,Mastercard,N/A,N/A,N/A
Senior Full Stack Software Engineer,New York,"Progyny, Inc",N/A,N/A,N/A
"Software Engineer, Financial Engineering",San Francisco,OpenAI,Full-time,"$255,000 - $405,000 a year",4.5
"Software Development Engineer III, Annapurna Labs",Seattle,Annapurna Labs (U.S.) Inc.,N/A,N/A,N/A
"Senior Software Engineer, BCI Applications",Fremont,Neuralink,N/A,N/A,N/A
Software Engineer,Hybrid work in Tampa,"MUFG Bank, Ltd.",Full-time,"$139,194 - $161,000 a year",3.3
SOFTWARE ENGINEER,Seattle,University of Washington,N/A,N/A,N/A
Software Engineer III - Quartz Security,New York,Bank of America,N/A,N/A,N/A
Software Engineer - Storage,Hybrid work in Seattle,MotherDuck,Full-time,"$140,000 - $240,000 a year",N/A
Senior Frontend Software Engineer,Chicago,Ubiety,N/A,N/A,N/A
Staff Software Engineer - Backend,Hybrid work in Menlo Park,Cyngn,Full-time,"$190,000 - $246,250 a year",N/A
Software Engineer - Liquidity Trade Processing - Associate - NYC,New York,Goldman Sachs,N/A,N/A,N/A
Software Developer (On-Site),Boca Raton,Windward Risk Managers,N/A,N/A,N/A
Software Engineer II - Cloud & Industrial AI,Hybrid work in Bellevue,Siemens,Full-time,"$105,100 - $189,200 a year",4
Software Engineer (Full-Stack),Herndon,National Student Clearinghouse,N/A,N/A,N/A
Senior Software Engineer,New York,Accrete.AI,N/A,N/A,N/A
Software Developer Sr.,Hybrid work in Bloomington,COUNTRY Financial,Full-time,"$94,000 - $129,250 a year",3.6
"Sr. Fullstack Software Engineer, Fleetnet",Palo Alto,Tesla,N/A,N/A,N/A
Senior Software Engineer,San Jose,Adobe,N/A,N/A,N/A
Software Developer: Generative AI,New York,"D. E. Shaw & Co., L.P.",Full-time,"$200,000 - $250,000 a year",4.1
Senior Software Engineer,Hybrid work in Camas,Fisher Investments,N/A,N/A,N/A
"Senior Platform Engineer I, Backend",Remote in California,Second Dinner,N/A,N/A,N/A
Software Engineer - Asset Servicing - Associate - NYC - GBM Public,New York,Goldman Sachs,Part-time,"$115,000 - $180,000 a year",3.9
Senior Software Engineer,Manhattan,DEPARTMENT OF CITY PLANNING,N/A,N/A,N/A
Software Engineer,New York,JPMorganChase,Full-time,"$175,600 - $185,000 a year",3.9
Full Stack Engineer - San Francisco (Financial District),San Francisco,"Escalon Services, LLC.",N/A,N/A,N/A
Full-Stack Developer (E-Commerce),Seattle,Bezos Academy,N/A,N/A,N/A
"Software Engineer, Portfolio Management Systems",New York,Talos Global,Full-time,"$170,000 - $200,000 a year",N/A
"Sr. Software Development Engineer, Financial Services",Bellevue,Tesla,N/A,N/A,N/A
"Full Stack Engineer, Sora",Hybrid work in San Francisco,OpenAI,N/A,N/A,N/A
"Software Engineer (L5), Ads Identity Graph",New York,Netflix,N/A,N/A,N/A
Research Software Engineer,New York,New York University,Full-time,"$100,000 - $250,000 a year",4.2
Sr. Developer - Full Stack,New York,Stifel,N/A,N/A,N/A
"Senior Software Engineer ll, Core Platform",Mountain View,Moveworks.ai,N/A,N/A,N/A
"Software Engineer, Controls",Hybrid work in San Francisco Bay Area,Kodiak,Full-time,"$175,000 - $220,000 a year",3.9
"Senior Software Engineer, Design Systems",San Francisco,Discord,N/A,N/A,N/A
Entry/Mid Level Software Engineer - Gosu/Guidewire/Java,Hybrid work in United States,State Farm,N/A,N/A,N/A
Senior Full Stack Engineer - Telephony,Hybrid work in San Francisco,Frontapp,Full-time,"$168,800 - $197,400 a year",N/A
Senior Software Engineer,O'Fallon,Mastercard,N/A,N/A,N/A
Senior Software Engineer,Remote in Somerville,ActBlue,Full-time,"$157,791 - $183,207 a year",2.5
Princ Software Engineer,Mountain View,Gen Digital,N/A,N/A,N/A
"NAVAIR Software Engineer/Developer, Junior",California,AMERICAN SYSTEMS,N/A,N/A,N/A
"Senior Software Engineer, Identity Platform",San Francisco,OpenAI,Full-time,"$325,000 - $490,000 a year",4.5
Junior Software Engineer/Developer,Beavercreek,Riverside Research Institute,N/A,N/A,N/A
Principal Software Engineer,O'Fallon,Mastercard,N/A,N/A,N/A
"Senior Software Engineer, Developer Experience Team",Foster City,Zoox,Full-time,"$185,000 - $303,000 a year",3.1
R&D Software Engineer,Santa Rosa,"Keysight Technologies, Inc.",N/A,N/A,N/A
"API Services - Senior Software Engineer - Java, Spring Boot",Hybrid work in Buffalo,M&T Bank,N/A,N/A,N/A
"Full Stack Software Engineer, AWS Data Center Engineering",Seattle,Amazon.com Services LLC,Full-time,"$129,300 - $223,600 a year",3.5
"Senior Software Engineer, Inbound Team - Hybrid - Seattle",Seattle,Nordstrom Inc,N/A,N/A,N/A
"Sr. Software Development Engineer, Marketing Platform",Hybrid work in Seattle,PitchBook Data,N/A,N/A,N/A
Research Software Engineer,Baltimore,Johns Hopkins University,Full-time,"$150,000 - $200,000 a year",4
Senior Software Engineer,Hybrid work in Franklin,Aristocrat,N/A,N/A,N/A
"Senior Software Engineer/Software Engineer, SRE (US Federal)",Boulder,Workday,N/A,N/A,N/A
Software Developer – SMA & Muni Trading,San Diego,PIMCO,Full-time,"$105,000 - $115,000 a year",3.9
Lead Software Engineer,O'Fallon,Mastercard,N/A,N/A,N/A
Senior Software Engineer (Back-End),New York,Simons Foundation,Full-time,"$160,000 - $200,000 a year",3.8
Java Developer – Algorithmic Trading & SOR,New York,UBS,N/A,N/A,N/A
System Software Engineer - Storage,San Mateo,Verkada,N/A,N/A,N/A
Principal Software Engineer - Full Stack,Hybrid work in San Francisco,Bright Machines,Full-time,"$210,000 - $270,000 a year",4
"Senior Software Engineer, Back-end",Los Angeles,Q-CTRL,N/A,N/A,N/A
"Bioinformatics Software Engineer II- Remote, USA",Remote in California,Ambry Genetics Corporation,N/A,N/A,N/A
"Senior Software Engineer, Mobile Full-Stack",San Francisco,Inkitt,Full-time,"$110,000 - $324,000 a year",2.8
Calibre Software Engineer (C++),Hybrid work in Austin,Siemens,N/A,N/A,N/A
Full Stack Senior Engineer,Salt Lake City,Mastercard,N/A,N/A,N/A
Software Engineer - Full Stack for M&C Products,Duluth,"Viasat, Inc.",Full-time,"$83,500 - $156,000 a year",3.7
"Senior Software Engineer II, Agentic AI Platform",Mountain View,Moveworks.ai,N/A,N/A,N/A
"Information Technology (IT) Software Engineer I, II, Senior",Turlock,Turlock Irrigation District,N/A,N/A,N/A
"Sr Java Software Engineer with Python - VP - RUTHERFORD, NJ",Rutherford,Citi,N/A,N/A,N/A
"Sr. Full Stack Software Engineer, Distributed Systems, Energy Software",Palo Alto,Tesla,Full-time,"$120,000 - $252,000 a year",3.3
GM Commercial Software - Senior Backend Software Engineer,Mountain View,General Motors,Full-time,"$152,100 - $232,900 a year",4
"Full Stack Engineer, Fleet Scheduling",Hybrid work in San Francisco,OpenAI,N/A,N/A,N/A
Software Engineer III,Fort Eustis,BTS Software Solutions,N/A,N/A,N/A
"Senior Software Engineer, AWS Neuron Inference",Seattle,Annapurna Labs (U.S.) Inc.,Full-time,"$151,300 - $261,500 a year",3.4
Physics/Math Graduate - Entry Level Software Developer,Vienna,EAI Technologies,N/A,N/A,N/A
Software Engineer Senior for FIS® Securities Lending,New York,FIS Global,N/A,N/A,N/A
Principal Engineer Software (Infrastructure Platform Full Stack),Hybrid work in Santa Clara,Palo Alto Networks,Full-time,"$191,000 - $215,500 a year",3.8
