Job Title,Location,Company,Job Type,Pay,Rating
Senior Full Stack Engineer - React,Hybrid work in New York,CVS Health,Full-time,"$92,700 - $222,480 a year",3.2
"Front-End Software Engineer, IXL Product",San Mateo,IXL Learning,N/A,N/A,N/A
Junior Software Engineer,Waterford,"Sonalysts, Inc.",Full-time,"$70,000 - $85,000 a year",3.7
SOFTWARE DEVELOPER-JUNIOR* - 04152025-66741,Remote in Nashville,Transportation,N/A,N/A,N/A
Senior Software Engineer,Remote in San Francisco,Imgix,N/A,N/A,N/A
Software Engineer III - Core Java Developer (Global Markets Reg Reporting and Ops Technology),New York,Bank of America,Full-time,"$100,700 - $180,000 a year",3.8
"Software Engineer, Backend, Level 4",Hybrid work in Los Angeles,Snapchat,N/A,N/A,N/A
Senior Software Engineer,New York,TP ICAP,N/A,N/A,N/A
Mid-Level Software Engineer,Hybrid work in Carlsbad,KBR,N/A,N/A,N/A
Senior Software Engineer,San Mateo,IXL Learning,Full-time,"$130,000 - $200,000 a year",3.1
